region,Soba,percentage
福島縣,oil_soba,7
埼玉縣,oil_soba,21
東京都,oil_soba,26
宮城縣,oil_soba,40
栃木縣,oil_soba,16
廣島縣,oil_soba,19
神奈川縣,oil_soba,27
大阪府,oil_soba,22
茨城縣,oil_soba,19
山形縣,oil_soba,32
千葉縣,oil_soba,23
新潟縣,oil_soba,19
山梨縣,oil_soba,31
青森縣,oil_soba,24
長野縣,oil_soba,24
京都府,oil_soba,20
愛知縣,oil_soba,30
群馬縣,oil_soba,23
沖繩縣,oil_soba,16
福岡縣,oil_soba,20
秋田縣,oil_soba,38
愛媛縣,oil_soba,28
岩手縣,oil_soba,31
北海道,oil_soba,38
靜岡縣,oil_soba,27
富山縣,oil_soba,19
熊本縣,oil_soba,34
德島縣,oil_soba,25
岐阜縣,oil_soba,27
石川縣,oil_soba,23
奈良縣,oil_soba,20
兵庫縣,oil_soba,24
宮崎縣,oil_soba,21
滋賀縣,oil_soba,33
三重縣,oil_soba,24
鳥取縣,oil_soba,40
大分縣,oil_soba,0
山口縣,oil_soba,35
香川縣,oil_soba,24
和歌山縣,oil_soba,28
高知縣,oil_soba,31
岡山縣,oil_soba,29
福井縣,oil_soba,28
島根縣,oil_soba,30
佐賀縣,oil_soba,0
長崎縣,oil_soba,0
鹿兒島縣,oil_soba,45
福島縣,kikata_ramen,73
埼玉縣,kikata_ramen,7
東京都,kikata_ramen,7
宮城縣,kikata_ramen,13
栃木縣,kikata_ramen,20
廣島縣,kikata_ramen,3
神奈川縣,kikata_ramen,8
大阪府,kikata_ramen,4
茨城縣,kikata_ramen,15
山形縣,kikata_ramen,27
千葉縣,kikata_ramen,10
新潟縣,kikata_ramen,24
山梨縣,kikata_ramen,7
青森縣,kikata_ramen,8
長野縣,kikata_ramen,12
京都府,kikata_ramen,4
愛知縣,kikata_ramen,6
群馬縣,kikata_ramen,15
沖繩縣,kikata_ramen,3
福岡縣,kikata_ramen,4
秋田縣,kikata_ramen,8
愛媛縣,kikata_ramen,4
岩手縣,kikata_ramen,11
北海道,kikata_ramen,7
靜岡縣,kikata_ramen,8
富山縣,kikata_ramen,9
熊本縣,kikata_ramen,3
德島縣,kikata_ramen,4
岐阜縣,kikata_ramen,5
石川縣,kikata_ramen,8
奈良縣,kikata_ramen,8
兵庫縣,kikata_ramen,5
宮崎縣,kikata_ramen,4
滋賀縣,kikata_ramen,4
三重縣,kikata_ramen,18
鳥取縣,kikata_ramen,3
大分縣,kikata_ramen,8
山口縣,kikata_ramen,4
香川縣,kikata_ramen,12
和歌山縣,kikata_ramen,6
高知縣,kikata_ramen,8
岡山縣,kikata_ramen,5
福井縣,kikata_ramen,12
島根縣,kikata_ramen,5
佐賀縣,kikata_ramen,9
長崎縣,kikata_ramen,8
鹿兒島縣,kikata_ramen,6
福島縣,tsuke_men,20
埼玉縣,tsuke_men,72
東京都,tsuke_men,67
宮城縣,tsuke_men,47
栃木縣,tsuke_men,64
廣島縣,tsuke_men,78
神奈川縣,tsuke_men,65
大阪府,tsuke_men,74
茨城縣,tsuke_men,66
山形縣,tsuke_men,41
千葉縣,tsuke_men,67
新潟縣,tsuke_men,57
山梨縣,tsuke_men,62
青森縣,tsuke_men,68
長野縣,tsuke_men,64
京都府,tsuke_men,76
愛知縣,tsuke_men,64
群馬縣,tsuke_men,62
沖繩縣,tsuke_men,81
福岡縣,tsuke_men,76
秋田縣,tsuke_men,54
愛媛縣,tsuke_men,68
岩手縣,tsuke_men,58
北海道,tsuke_men,55
靜岡縣,tsuke_men,65
富山縣,tsuke_men,72
熊本縣,tsuke_men,63
德島縣,tsuke_men,71
岐阜縣,tsuke_men,68
石川縣,tsuke_men,69
奈良縣,tsuke_men,72
兵庫縣,tsuke_men,71
宮崎縣,tsuke_men,75
滋賀縣,tsuke_men,63
三重縣,tsuke_men,58
鳥取縣,tsuke_men,57
大分縣,tsuke_men,92
山口縣,tsuke_men,61
香川縣,tsuke_men,64
和歌山縣,tsuke_men,66
高知縣,tsuke_men,61
岡山縣,tsuke_men,66
福井縣,tsuke_men,60
島根縣,tsuke_men,65
佐賀縣,tsuke_men,91
長崎縣,tsuke_men,92
鹿兒島縣,tsuke_men,49
